Guadua stand,Maturity,Culm number,Culm length(m),Circumference (cm2),DIH (cm),DIH (m),,,,,,,
1,R,1,3.3,38,12.096,0.121,,,,,,,
1,R,2,0.76,,0.000,0.000,,,,,,,
1,R,3,2.3,33,10.504,0.105,,,,,,,
1,R,4,4.5,46,14.642,0.146,,,,,,,
1,R,5,1.86,29,9.231,0.092,,,,,,,
1,R,6,1.2,36,11.459,0.115,,,,,,,
1,R,7,0.55,,,,,,,,,,
1,R,8,0.37,,,,,,,,,,
1,R,9,0.61,,,,,,,,,,
1,R,10,2.5,30,9.549,0.095,,,,,,,
1,R,11,0.35,,,,,,,,,,
1,R,12,0.23,,,,,,,,,,
1,R,13,0.18,,,,,,,,,,
1,R,14,0.28,,,,,,,,,,
1,R,15,0.18,,,,,,,,,,
1,R,16,0.2,,,,,,,,,,
1,R,17,0.91,,,,,,,,,,
1,R,18,0.19,,,,,,,,,,
1,R,19,0.31,,,,,,,,,,
1,R,20,0.28,,,,,,,,,,
1,R,21,0.29,,,,,,,,,,
1,R,22,14,,,,,,,,,,
1,R,23,15,35,11.141,0.111,,,,,,,
1,R,24,6,36,11.459,0.115,,,,,,,
1,R,25,8,34.5,10.982,0.110,,,,,,,
1,R,26,13,43.5,13.846,0.138,,,,,,,
1,R,27,5.5,32,10.186,0.102,,,,,,,
1,R,28,2.2,24,7.639,0.076,,,,,,,
1,R,29,17,33,10.504,0.105,,,,,,,
1,R,30,9,32,10.186,0.102,,,,,,,
1,R,31,,21,6.684,0.067,,,,,,,
1,R,31,0.2,,,,,,,,,,
1,R,32,0.19,,,,,,,,,,
1,R,33,0.27,,,,,,,,,,
2,R,32,,35,11.141,0.111,,,,,,,
2,R,33,,35.3,11.236,0.112,,,,,,,
2,R,34,,28.3,9.008,0.090,,,,,,,
2,R,35,,31.4,9.995,0.100,,,,,,,
2,R,36,,,0.000,0.000,,,,,,,
2,R,37,,36,11.459,0.115,,,,,,,
2,R,38,,,0.000,0.000,,,,,,,
2,R,39,,,0.000,0.000,,,,,,,
2,R,40,,30.5,9.708,0.097,,,,,,,
2,R,41,,34.4,10.950,0.109,,,,,,,
2,R,42,,38,12.096,0.121,,,,,,,
2,R,43,,34.7,11.045,0.110,,,,,,,
2,R,44,,34.9,11.109,0.111,,,,,,,
2,R,45,,26.4,8.403,0.084,,,,,,,
2,R,46,,38.5,12.255,0.123,,,,,,,
2,R,47,,49,15.597,0.156,,,,,,,
2,R,48,,36.3,11.555,0.116,,,,,,,
2,R,49,,42,13.369,0.134,,,,,,,
2,R,50,,38.2,12.159,0.122,,,,,,,
2,R,51,,36.2,11.523,0.115,,,,,,,
2,R,52,,40.8,12.987,0.130,,,,,,,
2,R,53,,26.8,8.531,0.085,,,,,,,
2,R,54,,,0.000,0.000,,,,,,,
2,R,55,,38.5,12.255,0.123,,,,,,,
2,R,56,,28.5,,,,,,,,,
2,R,57,1,,,,,,,,,,
2,R,58,35,,,,,,,,,,
3,R,59,,40.5,,,,,,,,,
3,R,60,,39.2,,,,,,,,,
3,R,61,36,,,,,,,,,,
3,R,62,,46.2,,,,,,,,,
3,R,63,,27.2,,,,,,,,,
3,R,64,22,,,,,,,,,,
3,R,65,,39.8,,,,,,,,,
3,R,66,,34.4,,,,,,,,,
3,R,67,,40.1,,,,,,,,,
3,R,68,,37.8,,,,,,,,,
3,R,69,,30.4,,,,,,,,,
3,R,70,,29.5,,,,,,,,,
1,V,1,18.150,38.5,12.25,0.123,,,,,,,
1,V,2,12.700,35.5,11.30,0.113,,,,,,,
1,V,3,13.800,39,12.41,0.124,,,,,,,
1,V,4,13.700,38.5,12.25,0.123,,,,,,,
1,V,5,11.900,38.5,12.25,0.123,,,,,,,
1,V,6,14.500,37.5,11.94,0.119,,,,,,,
1,V,7,12.800,31,9.87,0.099,,,,,,,
1,V,8,13.340,37,11.78,0.118,,,,,,,
1,V,9,15.581,37,11.78,0.118,,,,,,,
1,V,10,12.736,27.5,8.75,0.088,,,,,,,
1,V,11,12.335,26.4,8.40,0.084,,,,,,,
1,V,12,13.684,30.3,9.64,0.096,,,,,,,
1,V,13,12.556,27,8.59,0.086,,,,,,,
1,V,14,12.222,26.1,8.31,0.083,,,,,,,
1,V,15,15.874,38.2,12.16,0.122,,,,,,,
1,V,16,12.983,28.2,8.98,0.090,,,,,,,
1,V,17,13.121,28.6,9.10,0.091,,,,,,,
